Phase 1/4: objective-conflict anchor runs
Running 3 case(s) with 16 worker(s)...
[progress] OPMWADE P21 repeat=5/8 | W2:conflict_single_objective | nfes=910/6400 (14.2%) | best=0.06897372488 | fearate=1 | iter=4 | np=157 | elapsed=696.2s
[progress] OPMWADE P21 repeat=5/8 | W3:conflict_single_objective | nfes=920/6400 (14.4%) | best=9.829621556e-05 | fearate=1 | iter=4 | np=157 | elapsed=705.4s
[progress] OPMWADE P21 repeat=5/8 | W1:conflict_single_objective | nfes=1636/6400 (25.6%) | best=0.0001460418728 | fearate=1 | iter=9 | np=130 | elapsed=1250.5s
[progress] OPMWADE P21 repeat=5/8 | W2:conflict_single_objective | nfes=1636/6400 (25.6%) | best=0.0551093994 | fearate=1 | iter=9 | np=130 | elapsed=1254.1s
[progress] OPMWADE P21 repeat=5/8 | W3:conflict_single_objective | nfes=1645/6400 (25.7%) | best=7.205680177e-05 | fearate=1 | iter=9 | np=129 | elapsed=1261.2s
[progress] OPMWADE P21 repeat=5/8 | W1:conflict_single_objective | nfes=2408/6400 (37.6%) | best=9.167173652e-05 | fearate=1 | iter=16 | np=55 | elapsed=1845.3s
[progress] OPMWADE P21 repeat=5/8 | W2:conflict_single_objective | nfes=2461/6400 (38.5%) | best=0.05415238085 | fearate=1 | iter=16 | np=104 | elapsed=1890.4s
[progress] OPMWADE P21 repeat=5/8 | W3:conflict_single_objective | nfes=2467/6400 (38.5%) | best=6.996466309e-05 | fearate=1 | iter=16 | np=104 | elapsed=1894.8s
[progress] OPMWADE P21 repeat=5/8 | W1:conflict_single_objective | nfes=3226/6400 (50.4%) | best=8.455141412e-05 | fearate=1 | iter=25 | np=86 | elapsed=2472.5s
[progress] OPMWADE P21 repeat=5/8 | W2:conflict_single_objective | nfes=3224/6400 (50.4%) | best=0.05216171761 | fearate=1 | iter=24 | np=86 | elapsed=2476.3s
[progress] OPMWADE P21 repeat=5/8 | W3:conflict_single_objective | nfes=3228/6400 (50.4%) | best=5.761258272e-05 | fearate=1 | iter=24 | np=86 | elapsed=2480.9s
[progress] OPMWADE P21 repeat=5/8 | W1:conflict_single_objective | nfes=4011/6400 (62.7%) | best=7.191435435e-05 | fearate=1 | iter=35 | np=71 | elapsed=3078.1s
[progress] OPMWADE P21 repeat=5/8 | W2:conflict_single_objective | nfes=4010/6400 (62.7%) | best=0.04719058777 | fearate=1 | iter=34 | np=71 | elapsed=3082.4s
[progress] OPMWADE P21 repeat=5/8 | W3:conflict_single_objective | nfes=4013/6400 (62.7%) | best=5.01965562e-05 | fearate=1 | iter=34 | np=71 | elapsed=3084.3s
[progress] OPMWADE P21 repeat=5/8 | W1:conflict_single_objective | nfes=4812/6400 (75.2%) | best=7.191435435e-05 | fearate=1 | iter=49 | np=55 | elapsed=3693.1s
[progress] OPMWADE P21 repeat=5/8 | W2:conflict_single_objective | nfes=4806/6400 (75.1%) | best=0.03549768274 | fearate=1 | iter=46 | np=62 | elapsed=3693.8s
[progress] OPMWADE P21 repeat=5/8 | W3:conflict_single_objective | nfes=4857/6400 (75.9%) | best=4.856319452e-05 | fearate=1 | iter=47 | np=55 | elapsed=3732.9s
[progress] OPMWADE P21 repeat=5/8 | W1:conflict_single_objective | nfes=5617/6400 (87.8%) | best=6.458355891e-05 | fearate=1 | iter=63 | np=56 | elapsed=4299.4s
[progress] OPMWADE P21 repeat=5/8 | W3:conflict_single_objective | nfes=5613/6400 (87.7%) | best=4.496354084e-05 | fearate=1 | iter=60 | np=56 | elapsed=4299.9s
[progress] OPMWADE P21 repeat=5/8 | W2:conflict_single_objective | nfes=5647/6400 (88.2%) | best=0.03177691656 | fearate=1 | iter=60 | np=56 | elapsed=4326.1s
[progress] OPMWADE P21 repeat=5/8 | W1:conflict_single_objective | nfes=6448/6400 (100.0%) | best=5.794004953e-05 | fearate=1 | iter=78 | np=55 | elapsed=4912.7s
[progress] OPMWADE P21 repeat=5/8 | W3:conflict_single_objective | nfes=6406/6400 (100.0%) | best=4.286591678e-05 | fearate=1 | iter=74 | np=55 | elapsed=4885.7s
[progress] OPMWADE P21 repeat=5/8 | W2:conflict_single_objective | nfes=6425/6400 (100.0%) | best=0.03044320148 | fearate=1 | iter=74 | np=55 | elapsed=4901.3s
[progress] OPMWADE P21 repeat=6/8 | W1:conflict_single_objective | nfes=910/6400 (14.2%) | best=0.0002119239746 | fearate=1 | iter=4 | np=157 | elapsed=669.6s
[progress] OPMWADE P21 repeat=6/8 | W3:conflict_single_objective | nfes=910/6400 (14.2%) | best=0.0001031682151 | fearate=1 | iter=4 | np=157 | elapsed=670.6s
[progress] OPMWADE P21 repeat=6/8 | W2:conflict_single_objective | nfes=910/6400 (14.2%) | best=0.06394510706 | fearate=1 | iter=4 | np=157 | elapsed=670.4s
[progress] OPMWADE P21 repeat=6/8 | W1:conflict_single_objective | nfes=1636/6400 (25.6%) | best=0.0001307842572 | fearate=1 | iter=9 | np=130 | elapsed=1202.4s
[progress] OPMWADE P21 repeat=6/8 | W3:conflict_single_objective | nfes=1636/6400 (25.6%) | best=8.876495982e-05 | fearate=1 | iter=9 | np=130 | elapsed=1204.7s
[progress] OPMWADE P21 repeat=6/8 | W2:conflict_single_objective | nfes=1636/6400 (25.6%) | best=0.06004490429 | fearate=1 | iter=9 | np=130 | elapsed=1204.2s
